condition,run_id,generation,best_fitness,avg_fitness,best_coverage,best_bugs,novelty,diversity
COV_ONLY,4,56,0.866667,0.839167,0.866667,6,0.900000,0.864591
COV_ONLY,4,57,0.866667,0.842917,0.866667,6,0.900000,0.867018
COV_ONLY,4,58,0.866667,0.842917,0.866667,6,0.900000,0.864886
COV_ONLY,4,59,0.866667,0.838750,0.866667,6,0.900000,0.865669
COV_ONLY,5,0,0.783333,0.669583,0.783333,6,0.850000,0.808178
COV_ONLY,5,1,0.733333,0.662500,0.733333,5,0.850000,0.815060
COV_ONLY,5,2,0.750000,0.690833,0.750000,5,0.850000,0.825838
COV_ONLY,5,3,0.800000,0.700417,0.800000,5,0.866667,0.833077
COV_ONLY,5,4,0.816667,0.720000,0.816667,5,0.866667,0.838656
COV_ONLY,5,5,0.800000,0.745000,0.800000,6,0.866667,0.841826
COV_ONLY,5,6,0.816667,0.749583,0.816667,5,0.866667,0.844524
COV_ONLY,5,7,0.800000,0.754167,0.800000,6,0.866667,0.845301
COV_ONLY,5,8,0.833333,0.764583,0.833333,5,0.883333,0.846951
COV_ONLY,5,9,0.816667,0.765000,0.816667,6,0.883333,0.847800
COV_ONLY,5,10,0.833333,0.762500,0.833333,6,0.883333,0.847961
COV_ONLY,5,11,0.833333,0.775833,0.833333,6,0.883333,0.848995
COV_ONLY,5,12,0.833333,0.776667,0.833333,6,0.883333,0.852441
COV_ONLY,5,13,0.850000,0.792083,0.850000,5,0.883333,0.855014
COV_ONLY,5,14,0.833333,0.784167,0.833333,6,0.883333,0.852844
COV_ONLY,5,15,0.833333,0.780000,0.833333,6,0.883333,0.854081
COV_ONLY,5,16,0.833333,0.783750,0.833333,5,0.883333,0.856282
COV_ONLY,5,17,0.833333,0.786667,0.833333,6,0.883333,0.857170
COV_ONLY,5,18,0.833333,0.783333,0.833333,5,0.883333,0.855671
COV_ONLY,5,19,0.850000,0.788333,0.850000,6,0.883333,0.853613
COV_ONLY,5,20,0.833333,0.789167,0.833333,6,0.883333,0.855199
COV_ONLY,5,21,0.850000,0.791667,0.850000,5,0.883333,0.855533
COV_ONLY,5,22,0.850000,0.792500,0.850000,6,0.883333,0.854406
COV_ONLY,5,23,0.850000,0.796667,0.850000,6,0.883333,0.852980
COV_ONLY,5,24,0.850000,0.795417,0.850000,6,0.883333,0.853721
COV_ONLY,5,25,0.866667,0.794167,0.866667,6,0.883333,0.854631
COV_ONLY,5,26,0.850000,0.801250,0.850000,6,0.883333,0.856258
COV_ONLY,5,27,0.850000,0.807083,0.850000,5,0.883333,0.856861
COV_ONLY,5,28,0.866667,0.803333,0.866667,6,0.883333,0.856964
COV_ONLY,5,29,0.866667,0.808333,0.866667,6,0.883333,0.857954
COV_ONLY,5,30,0.866667,0.809583,0.866667,6,0.883333,0.861666
COV_ONLY,5,31,0.850000,0.807083,0.850000,5,0.883333,0.860512
COV_ONLY,5,32,0.850000,0.815000,0.850000,6,0.883333,0.860272
COV_ONLY,5,33,0.866667,0.810417,0.866667,6,0.883333,0.859605
COV_ONLY,5,34,0.866667,0.813750,0.866667,6,0.883333,0.859139
COV_ONLY,5,35,0.866667,0.814583,0.866667,6,0.883333,0.861610
COV_ONLY,5,36,0.866667,0.811250,0.866667,6,0.883333,0.862536
COV_ONLY,5,37,0.850000,0.815833,0.850000,6,0.883333,0.861854
COV_ONLY,5,38,0.866667,0.817917,0.866667,6,0.883333,0.864345
COV_ONLY,5,39,0.850000,0.815000,0.850000,6,0.883333,0.865200
COV_ONLY,5,40,0.866667,0.818333,0.866667,6,0.883333,0.864046
COV_ONLY,5,41,0.866667,0.808750,0.866667,6,0.883333,0.865433
COV_ONLY,5,42,0.866667,0.817917,0.866667,6,0.883333,0.863330
COV_ONLY,5,43,0.850000,0.798750,0.850000,5,0.883333,0.861452
COV_ONLY,5,44,0.850000,0.817083,0.850000,6,0.883333,0.864477
COV_ONLY,5,45,0.866667,0.817917,0.866667,6,0.883333,0.863757
COV_ONLY,5,46,0.866667,0.818750,0.866667,6,0.883333,0.864318
COV_ONLY,5,47,0.850000,0.822500,0.850000,6,0.883333,0.864516
COV_ONLY,5,48,0.866667,0.825417,0.866667,6,0.883333,0.864737
COV_ONLY,5,49,0.866667,0.825417,0.866667,6,0.883333,0.866126
COV_ONLY,5,50,0.866667,0.825417,0.866667,6,0.883333,0.865993
COV_ONLY,5,51,0.866667,0.830000,0.866667,6,0.883333,0.868861
COV_ONLY,5,52,0.866667,0.829167,0.866667,6,0.883333,0.868152
